"lambda_rel","doc_name","domain","question","layout_retrieved","gt","first_hit_rank","recall","source_range"
"0.5","P19-1598","Academic paper","What is the top-1 accuracy of the Oracle KGLM on birthdate prediction?","[5805, 10406, 5813, 5800, 11894, 10405, 5802, 4380, 5721, 10329]","[5800]","4","1.0","200-280"
"0.5","P19-1598","Academic paper","How many documents are there in the training set of the Linked WikiText-2 Corpus?","[5764, 5815, 5721, 5793, 5731, 5782, 5797, 5771, 5730, 5772]","[5771]","8","1.0","200-280"
"0.5","P19-1598","Academic paper","Which language model has the lowest Perplexity (PPL) according to Table 3?","[5002, 5000, 5796, 5007, 5533, 5542, 10257, 5617, 11103, 11113]","[5796]","3","1.0","200-280"
"0.5","P19-1598","Academic paper","Who is the last author of the paper?","[5737, 15745, 4717, 5044, 5014, 4888, 21405, 5628, 5431, 4336]","[5718]","Not Found","0.0","200-280"
"0.5","P19-1598","Academic paper","On which page does the paper introduce the corpus statistics?","[3723, 15259, 15797, 4409, 11851, 15487, 3558, 16036, 4990, 10190]","[5773, 5765]","Not Found","0.0","200-280"
"0.5","W18-4401","Academic paper","How many Facebook comments were provided in the dataset for training purposes?","[15699, 5534, 15683, 4593, 6978, 4398, 6976, 4572, 5618, 4578]","[15699]","1","1.0","200-280"
"0.5","W18-4401","Academic paper","How many categories of aggression were participants asked to classify texts into?","[15694, 15770, 15683, 15699, 15874, 17500, 16071, 5536, 17861, 4630]","[15694]","1","1.0","200-280"
"0.5","P19-1164","Academic paper","Which language pair has the highest accuracy (Acc) score for Google Translate according to Table 2?","[5203, 5213, 5221, 11083, 5215, 15963, 5216, 15965, 4021, 5204]","[5203]","1","1.0","200-280"
"0.5","P19-1164","Academic paper","Based on Figure 2, which language exhibited the greatest bias in accuracy between stereotypical and non-stereotypical gender roles when using Google Translate?","[5213, 5216, 5231, 5180, 5188, 5204, 5215, 5192, 5221, 5185]","[5203, 5213]","1","0.5","200-280"
"0.5","P19-1164","Academic paper","Which language showed the greatest improvement in gender prediction accuracy when adjectives were added?","[5215, 5210, 5204, 4506, 5180, 15992, 5213, 5203, 4375, 10406]","[5214]","Not Found","0.0","200-280"
"0.5","P19-1164","Academic paper","How many references are cited in the paper?","[373, 21992, 21891, 21999, 15876, 8900, 1963, 21861, 16040, 9935]","[5235, 5236, 5237]","Not Found","0.0","200-280"
"0.5","W18-5713","Academic paper","What is the reported issue with sequence generation models in dialogue tasks?","[15777, 15773, 15827, 15771, 15772, 15779, 5236, 15775, 5050, 15796]","[15775]","8","1.0","200-280"
"0.5","W18-5713","Academic paper","Is the Seq2Seq model shown to produce longer or shorter sentences when compared to human responses?","[15797, 15777, 15805, 15804, 5134, 15803, 15795, 15784, 15793, 15787]","[15777]","2","1.0","200-280"
"0.5","W18-5713","Academic paper","How many total evaluations were collected for the comparison between RetrieveNRefine++ (retrieved) vs. Seq2Seq?","[15804, 15803, 15799, 15794, 15795, 15793, 15787, 15784, 15785, 15797]","[15804]","1","1.0","200-280"
"0.5","W18-5713","Academic paper","Which method scored the highest in the Engagingness metric?","[15803, 16785, 16921, 15802, 14939, 10353, 21414, 198, 4849, 15816]","[15803]","1","1.0","200-280"
"0.5","W18-5713","Academic paper","How much did the Engagingness score improve when comparing Seq2Seq (PPL) to RetrieveNRefine++?","[15803, 15804, 15787, 15802, 15799, 15806, 15797, 15793, 15794, 15805]","[15803]","1","1.0","200-280"
"0.5","W18-5713","Academic paper","Which method produces the longest sentences in terms of word count?","[15793, 15794, 4400, 10329, 7136, 10413, 1556, 15797, 9174, 20076]","[15805]","Not Found","0.0","200-280"
"0.5","W18-5713","Academic paper","Which model pair had the highest win rate according to Table 5?","[11153, 4520, 4755, 5536, 5698, 5327, 5271, 4391, 11893, 5675]","[15804]","Not Found","0.0","200-280"
"0.5","W18-5713","Academic paper","What is the first sentence on page 5?","[15993, 1890, 11100, 4594, 2421, 10439, 4424, 11108, 3949, 3519]","[15817]","Not Found","0.0","200-280"
"0.5","P19-1416","Academic paper","What was the F1 score achieved by single-paragraph BERT in the open-domain setting?","[5334, 5274, 5366, 5365, 5327, 5363, 1618, 5358, 5345, 5695]","[5314, 5334]","1","0.5","200-280"
"0.5","P19-1416","Academic paper","What F1 score did the single-paragraph BERT model achieve in the distractor setting on HOTPOTQA?","[5327, 5332, 5356, 5308, 5334, 5338, 5367, 5331, 10255, 5360]","[5332]","2","1.0","200-280"
"0.5","P19-1416","Academic paper","Which model has the highest Distractor F1 score according to Table 1?","[5327, 5332, 5358, 4172, 5328, 4170, 5606, 4390, 5359, 4293]","[5310, 5327]","1","0.5","200-280"
"0.5","P19-1416","Academic paper","What is the F1 score of the single-paragraph BERT model in the setting with 500 open-domain paragraphs?","[5366, 5365, 5363, 5334, 5327, 5358, 11897, 4378, 10255, 5345]","[5365]","2","1.0","200-280"
"0.5","P19-1416","Academic paper","By how much does the F1 score improve when the gold paragraph is added to the open-domain setting with 500 paragraphs?","[5365, 5366, 5363, 5359, 11828, 5334, 5339, 5333, 5332, 5327]","[5365]","1","1.0","200-280"
"0.5","P19-1416","Academic paper","According to Figure 2, how does the model decide which answer to select?","[11181, 5321, 5390, 11097, 11090, 10187, 10231, 11153, 11114, 11954]","[5315]","Not Found","0.0","200-280"
"0.5","P19-1459","Academic paper","Did BERT's best performance on the Argument Reasoning Comprehension Task surpass the average untrained human baseline?","[5418, 5471, 5427, 5443, 5428, 4388, 5034, 5430, 5541, 4756]","[5432, 5443]","4","0.5","200-280"
"0.5","P19-1459","Academic paper","Why are the results of BERT with a mean of 71.6% not considered meaningful?","[5443, 5429, 5458, 5430, 5462, 5463, 4403, 5457, 6923, 10208]","[5432, 5443]","1","0.5","200-280"
"0.5","P19-1459","Academic paper","What is the test set accuracy of BERT (Large) as reported in the best run according to Table 1?","[5428, 5427, 5468, 16088, 5429, 4094, 5458, 5617, 5687, 4150]","[5428]","1","1.0","200-280"
"0.5","P19-1459","Academic paper","What function is used to determine a probability distribution over the two warrants in the proposed architecture?","[5437, 5430, 5439, 7248, 5445, 5735, 5434, 4914, 4264, 5432]","[5437]","1","1.0","200-280"
"0.5","P19-1033","Academic paper","Which method is used to learn short-term user representations?","[4841, 4817, 4849, 4410, 5478, 4831, 4840, 4814, 4843, 4847]","[4786]","Not Found","0.0","200-280"
"0.5","P19-1033","Academic paper","How does the performance of LSTUR-con measured by AUC compare to LSTUR-ini as the mask probability p increases?","[4865, 4863, 4855, 4864, 4854, 4845, 4868, 4844, 4841, 4825]","[4865, 4854]","1","1.0","200-280"
"0.5","P19-1033","Academic paper","What is the total number of users included in the dataset?","[8921, 4832, 6094, 6870, 6095, 6903, 15699, 6661, 15963, 15793]","[4832, 4814]","2","0.5","200-280"
"0.5","P19-1033","Academic paper","How many users from the dataset were not included in the training set?","[4832, 10206, 15963, 5463, 5093, 10386, 15810, 7610, 4665, 6889]","[4832, 4814]","1","0.5","200-280"
"0.5","P19-1033","Academic paper","How do the two methods introduced in Figure 3 differ in integrating the long-term and short-term user representations?","[4818, 4872, 4786, 4841, 4819, 4806, 4779, 4845, 4843, 4847]","[4806]","6","1.0","200-280"
"0.5","P19-1033","Academic paper","What is the optimal mask probability p value for both LSTUR-ini and LSTUR-con according to Figure 8?","[4865, 4864, 4863, 4868, 4854, 4855, 4845, 4806, 4841, 20749]","[4865, 4854]","1","1.0","200-280"
"0.5","P19-1033","Academic paper","What are the two sub-modules within the news encoder according to Figure 2?","[4794, 4807, 4803, 4849, 4859, 4860, 4792, 4851, 4797, 4805]","[4799]","Not Found","0.0","200-280"
"0.5","P18-1125","Academic paper","What is the underlying principle behind deriving prompt-vectors for phrasings in the framework?","[4590, 4592, 10334, 11126, 5184, 17689, 5072, 11183, 14378, 16591]","[4578, 4588]","Not Found","0.0","200-280"
"0.5","P18-1125","Academic paper","How many authors are on the paper?","[21092, 21990, 5293, 4761, 20401, 21999, 17767, 20729, 2137, 17641]","[4541, 4542]","Not Found","0.0","200-280"
"0.5","P18-1125","Academic paper","How many institutions are listed on the paper?","[10624, 20906, 11974, 12015, 3903, 5178, 9216, 21237, 4634, 10594]","[4541, 4542]","Not Found","0.0","200-280"
"0.5","P19-1355","Academic paper","How many more hours does it take to train ELMo compared to BERT_base on GPU according to Table 3?","[5274, 5271, 5265, 5253, 15958, 5458, 4390, 5617, 10425, 5429]","[5271]","2","1.0","200-280"
"0.5","P19-1355","Academic paper","What is the range of cloud compute costs for training the GPT-2 model according to Table 3?","[5271, 5280, 11113, 5279, 10418, 5267, 5528, 11083, 5241, 11082]","[5271]","1","1.0","200-280"
"0.5","P19-1355","Academic paper","What is the CO2 equivalent emission for training a Transformer (big) NLP model on a GPU?","[5274, 5481, 5517, 5245, 5480, 5263, 5516, 5617, 5248, 5618]","[5271]","Not Found","0.0","200-280"
"0.5","Q18-1021","Academic paper","What is the average number of unique document paths per sample in the MedHop dataset?","[10207, 10208, 10249, 10206, 10257, 10248, 10260, 8814, 6910, 10209]","[10195, 10205]","Not Found","0.0","200-280"
"0.5","Q18-1021","Academic paper","What was the accuracy of the Document-cue model on WIKIHOP before filtering?","[10257, 4172, 10247, 10260, 4170, 10246, 10216, 10255, 10161, 10231]","[10244]","Not Found","0.0","200-280"
"0.5","Q18-1021","Academic paper","How many training samples does WIKIHOP have?","[10257, 10205, 10231, 10219, 10185, 10224, 10247, 10209, 10255, 10212]","[10208]","Not Found","0.0","200-280"
"0.5","Q18-1021","Academic paper","On which page does the paper present the dataset sizes?","[5114, 9339, 11215, 3094, 10205, 20066, 7824, 5796, 8244, 10120]","[10207]","Not Found","0.0","200-280"
"0.5","P18-1041","Academic paper","How do SWEMs generally account for spatial, word-order information within a text sequence?","[4380, 4394, 4401, 4362, 4358, 4407, 4365, 4409, 4425, 4335]","[4335]","10","1.0","200-280"
"0.5","P18-1041","Academic paper","Which variant of SWEM performs the best on text sequence matching tasks?","[4407, 4336, 4358, 4422, 4383, 4390, 4388, 4392, 4331, 15802]","[4388]","7","1.0","200-280"
"0.5","P18-1041","Academic paper","How much faster is the SWEM model compared to the LSTM model in terms of training speed?","[4409, 4410, 4335, 4378, 4338, 4376, 4419, 4377, 4365, 4414]","[4378]","4","1.0","200-280"
"0.5","P18-1041","Academic paper","What model achieved the highest accuracy on the Yelp Polarity sentiment analysis task according to Table 2?","[4371, 4981, 5000, 4395, 5010, 4399, 11103, 4982, 5536, 5002]","[4371]","1","1.0","200-280"
"0.5","P18-1041","Academic paper","How much does the test accuracy decrease when using a shuffled training set as opposed to the original training set on the Yelp polarity dataset?","[4399, 4395, 5615, 4398, 4401, 4394, 5463, 5616, 4396, 5562]","[4395]","2","1.0","200-280"
"0.5","P18-1041","Academic paper","Which model achieved the highest accuracy on the SST-2 dataset?","[4403, 11140, 5203, 5007, 5112, 5107, 4425, 4758, 10237, 4391]","[4403, 4390]","1","0.5","200-280"
"0.5","P18-1041","Academic paper","How many subfigures are there in Figure 2?","[4725, 21360, 4799, 5501, 4807, 5324, 11213, 5663, 19531, 5510]","[4416, 4417]","Not Found","0.0","200-280"
"0.5","P18-2092","Academic paper","What method achieved the highest Macro-F1 score on dataset D1?","[4682, 4681, 4679, 4678, 4688, 4680, 4683, 4689, 15794, 4698]","[4681]","2","1.0","200-280"
"0.5","P18-2092","Academic paper","What is the total number of positive samples in the Restaurant14 dataset (combining Train and Test)?","[4665, 5114, 5092, 5119, 5129, 10409, 10205, 5124, 4151, 5096]","[4665]","1","1.0","200-280"
"0.5","P18-2092","Academic paper","On which page does the paper present the  studies?","[20049, 20365, 10343, 9994, 4596, 20361, 8900, 8959, 15687, 259]","[4684, 4685]","Not Found","0.0","200-280"
"0.5","P18-2092","Academic paper","What is the title of the paper with highest citations on Google Scholar for the last author?","[6633, 8796, 15706, 7734, 20083, 13477, 6038, 18489, 9180, 7670]","[4633, 4703]","Not Found","0.0","200-280"
"0.5","P18-1046","Academic paper","What does the trend of accuracy indicate about the generator's capability as the adversarial training progresses?","[4506, 4508, 4490, 4512, 5622, 4417, 5704, 4505, 5683, 4983]","[4508, 4500]","2","0.5","200-280"
"0.5","P18-1046","Academic paper","Which model showed the largest improvement in AUC value after the addition of DSGAN?","[4520, 79, 10237, 4509, 4996, 15777, 10425, 4172, 4170, 1508]","[4520, 4512]","1","0.5","200-280"
"0.5","P18-1046","Academic paper","At which epoch does the accuracy of the discriminator for the relation type /people/person/place_lived show a critical point of decline?","[4506, 4508, 4512, 4505, 4490, 5127, 20155, 8466, 4503, 5128]","[4506]","1","1.0","200-280"
"0.5","P18-1046","Academic paper","What is the last reference mentioned in the paper?","[5737, 4899, 15908, 137, 1963, 11957, 4978, 15779, 15834, 15879]","[4539]","Not Found","0.0","200-280"
"0.5","P19-1561","Academic paper","Which defense mechanism resulted in the highest recovery of the original accuracy in the BERT model under the 'all' attack setting?","[5693, 5687, 5695, 5683, 5692, 5622, 5360, 5632, 5671, 10247]","[5692]","5","1.0","200-280"
"0.5","P19-1561","Academic paper","What is the Word Error Rate (WER) of the ATD spell-corrector model for the 'Key' attack?","[5675, 5699, 5694, 5688, 5676, 5666, 5687, 5622, 5692, 4758]","[5675, 5660]","1","0.5","200-280"
"0.5","P18-1013","Academic paper","What is the confidence interval for the ROUGE scores reported in Table 2?","[4290, 4293, 4292, 4291, 4297, 11877, 4296, 11883, 11888, 4210]","[4293]","2","1.0","200-280"
"0.5","P18-1013","Academic paper","How many times does the paper mention GAN?","[15517, 14569, 10429, 14771, 21384, 13312, 5197, 10133, 15228, 9971]","[4312, 4290, 4292, 4301]","Not Found","0.0","200-280"
"0.5","P19-1078","Academic paper","What type of copying mechanism does the TRADE model employ?","[5049, 5055, 5050, 5034, 5121, 11975, 5048, 10248, 4359, 5051]","[5058]","Not Found","0.0","200-280"
"0.5","P19-1078","Academic paper","Explain the function of the slot gate in the proposed TRADE model.","[5055, 5121, 5124, 5034, 5049, 5050, 5051, 5045, 5044, 5139]","[5049]","5","1.0","200-280"
"0.5","P19-1078","Academic paper","Which domain has the highest number of dialogues in the test set?","[5093, 11147, 5034, 15943, 15942, 4102, 11070, 15810, 4294, 5771]","[5092]","Not Found","0.0","200-280"
"0.5","P19-1078","Academic paper","Which fine-tuning strategy resulted in the highest Joint goal accuracy for the ""Hotel"" domain after domain expansion?","[5125, 5123, 5114, 10405, 10292, 4182, 10371, 5086, 10406, 4174]","[5114]","3","1.0","200-280"
"0.5","P19-1078","Academic paper","By how much did the Joint goal accuracy in the ""Train"" domain improve when using the GEM fine-tuning strategy compared to training from scratch?","[5114, 5564, 5124, 5121, 4151, 10206, 19883, 5115, 5122, 10333]","[5114]","1","1.0","200-280"
"0.5","P19-1078","Academic paper","Which domain showed the highest joint goal accuracy in the zero-shot experiments?","[5034, 5120, 5139, 5119, 5108, 5102, 5213, 10432, 5112, 5116]","[5110, 5119]","4","0.5","200-280"
"0.5","P19-1078","Academic paper","What are the three major components of the proposed TRADE model as shown in Figure 2?","[5049, 5055, 12579, 5121, 5051, 5048, 5501, 5745, 5124, 11411]","[5054]","Not Found","0.0","200-280"
"0.5","P19-1470","Academic paper","Which model achieved the highest average human score for the oEffect relation?","[5534, 5618, 5617, 5533, 5546, 4655, 5616, 8768, 4760, 5568]","[5534]","1","1.0","200-280"
"0.5","P19-1470","Academic paper","What is the PPL score when using 50% of the training data according to Table 4?","[5542, 4399, 5454, 5541, 10205, 5124, 4151, 5615, 10409, 4398]","[5542]","1","1.0","200-280"
"0.5","P19-1470","Academic paper","What decoding method resulted in the highest average quality percentage for generating knowledge tuples according to Table 3?","[5545, 5541, 20157, 14872, 5538, 11054, 4740, 5560, 5815, 4854]","[5541, 5533]","2","0.5","200-280"
"0.5","P19-1470","Academic paper","On which page does the paper detail the hyperparameter setting?","[10343, 21930, 4763, 17741, 10365, 17739, 18843, 19777, 4910, 4641]","[5528]","Not Found","0.0","200-280"
"0.5","P18-4013","Academic paper","What tools or techniques were used to handle the character sequence in the NER system to achieve better performance?","[15987, 4392, 4853, 4226, 4860, 15991, 15901, 4763, 5684, 4359]","[4763]","8","1.0","200-280"
"0.5","P18-4013","Academic paper","According to Figure 4, does the training speed of NCRF++ continue to increase after a batch size of 100?","[4769, 4721, 4722, 4749, 4746, 5283, 4725, 4709, 4507, 4720]","[4755, 4766]","Not Found","0.0","200-280"
"0.5","P18-4013","Academic paper","What feature combination yielded the highest F score according to Table 2?","[5211, 5454, 4296, 11153, 4656, 15886, 11103, 5536, 4610, 5204]","[4755]","Not Found","0.0","200-280"
"0.5","P18-4013","Academic paper","Which model has the highest F1-value for Named Entity Recognition (NER) according to Table 1?","[4746, 4170, 4172, 4150, 4151, 5702, 10248, 5327, 5676, 4371]","[4746]","1","1.0","200-280"
"0.5","P18-4013","Academic paper","How are word representations formed in NCRF++ as per the diagram?","[4725, 4718, 4738, 4721, 4719, 4722, 4720, 4904, 4733, 4730]","[4725]","1","1.0","200-280"
"0.5","P18-4013","Academic paper","How many references are mentioned in the paper?","[4219, 5485, 15832, 5014, 15876, 20136, 5816, 5493, 5588, 10380]","[4772, 4773, 4774]","Not Found","0.0","200-280"
"0.5","P19-1041","Academic paper","Which model's style space shows a clearer separation between different styles according to Figure 2?","[4903, 4978, 5815, 4997, 4948, 4890, 5676, 4882, 5701, 5806]","[4982]","Not Found","0.0","200-280"
"0.5","P19-1041","Academic paper","On which page does the paper detail the hyperparameter settings?","[10343, 4763, 4779, 19777, 4910, 21930, 14476, 4404, 10365, 17741]","[4977]","Not Found","0.0","200-280"
"0.5","W19-5302","Academic paper","Is the Pearson correlation for ESIM higher than 0.95 for the de-cs language pair?","[15958, 15960, 15964, 16062, 15971, 15935, 15938, 10190, 20328, 20832]","[15935]","6","1.0","200-280"
"0.5","W19-5302","Academic paper","Which metric showed a statistically significant increase in correlation with human assessment over all other metrics for the German to French language pair according to Williams test?","[15938, 15960, 15988, 15797, 15980, 15937, 15959, 18615, 15969, 5458]","[15938]","1","1.0","200-280"
"0.5","W19-5302","Academic paper","Is the Meteor++_2.0 (syntax+copy) score for the enkk-en language pair higher than the score for enfi-en?","[11965, 15961, 15970, 15911, 15963, 15935, 11828, 15958, 15936, 19731]","[15962]","Not Found","0.0","200-280"
"0.5","W19-5302","Academic paper","Which metric achieved the highest correlation score for the enlt-en language pair among those listed?","[15938, 16017, 5676, 15962, 15965, 15937, 15845, 15987, 15935, 15936]","[15962]","4","1.0","200-280"
"0.5","W19-5302","Academic paper","What is the language pair with the highest number of DA pairs?","[15965, 15874, 15872, 5003, 15875, 15962, 5689, 4982, 5002, 15937]","[15874, 15861]","2","0.5","200-280"
"0.5","P18-1009","Academic paper","Does the presented data collection process prioritize precision or comprehensiveness?","[5367, 6938, 6665, 19891, 16700, 5541, 19625, 19791, 17873, 19743]","[4114]","Not Found","0.0","200-280"
"0.5","P18-1009","Academic paper","Which source of supervision has the highest precision according to Table 2?","[4129, 19729, 5327, 5556, 19728, 10244, 4152, 15891, 3285, 4128]","[4125]","Not Found","0.0","200-280"
"0.5","P18-1009","Academic paper","What is the MRR score of AttentiveNER on the Test set?","[4150, 4151, 4170, 5671, 4158, 4172, 5092, 4691, 4156, 5128]","[4150]","1","1.0","200-280"
"0.5","OTC_NSRGY_2020","Financial report","What organic growth percentage did Zone EMENA achieve in 2020?","[584, 582, 583, 529, 530, 575, 588, 577, 573, 17686]","[582]","2","1.0","200-280"
"0.5","OTC_NSRGY_2020","Financial report","Did Zone EMENA experience an increase in its underlying trading operating profit margin in 2020?","[573, 559, 529, 588, 581, 584, 587, 502, 597, 572]","[579]","Not Found","0.0","200-280"
"0.5","OTC_NSRGY_2020","Financial report","How much larger were the company's sales in the United States compared to Canada in 2020 in CHF millions?","[577, 520, 604, 584, 295, 589, 514, 587, 5931, 7084]","[520]","2","1.0","200-280"
"0.5","OTC_NSRGY_2020","Financial report","Which market had the highest percentage decrease in sales in CHF during 2020 compared to 2019?","[514, 584, 520, 539, 107, 500, 19655, 574, 577, 536]","[520]","3","1.0","200-280"
"0.5","OTC_TCS_2020","Financial report","Did the total funds invested in FY 2020 include amounts pertaining to trusts and the TCS Foundation?","[2387, 2511, 2548, 2349, 2051, 1671, 2555, 1587, 1670, 1718]","[1722]","Not Found","0.0","200-280"
"0.5","OTC_TCS_2020","Financial report","What was the amount invested in mutual funds, Government securities, and others in FY 2019?","[1722, 2509, 3491, 3496, 3493, 2580, 7121, 2583, 3409, 7122]","[1722]","1","1.0","200-280"
"0.5","OTC_TCS_2020","Financial report","Did TCS reduce its specific carbon footprint from business air travel in FY 2020 compared to FY 2019?","[1957, 1951, 1945, 1741, 1990, 713, 1692, 1939, 707, 1965]","[1957]","1","1.0","200-280"
"0.5","OTC_TCS_2020","Financial report","In which month of FY 2020 did the BSE experience the lowest daily closing price, and what was that price?","[2086, 2087, 2182, 2088, 20016, 16409, 1031, 6945, 20209, 5277]","[2087]","2","1.0","200-280"
"0.5","USCOURTS-laed-2_16-md-02740-84","Government","Has any party filed a motion to substitute after the filing of Suggestions of Death in the Sanofi case?","[14355, 14370, 14360, 14372, 14373, 14361, 14353, 14388, 14354, 14364]","[14353]","7","1.0","200-280"
"0.5","USCOURTS-laed-2_24-cv-00393-0","Government","Who is the presiding Chief Judge at the United States District Court scheduled to conduct the hearing on March 8, 2024?","[14526, 14528, 14403, 14485, 14386, 14464, 12570, 14545, 21847, 1178]","[14528]","2","1.0","200-280"
"0.5","USCOURTS-laed-2_24-cv-00393-0","Government","Did the court grant the Plaintiff's emergency motion for a temporary restraining order?","[14519, 14486, 14475, 14493, 14524, 14506, 14501, 14364, 14526, 14528]","[14475]","3","1.0","200-280"
"0.5","Reference-EDS-Accessible","Government","What is the purpose of applying data and analytics as per the Department's goals?","[10491, 19489, 10493, 10441, 10541, 19488, 10555, 10578, 10438, 10568]","[10491]","1","1.0","200-280"
"0.5","Reference-EDS-Accessible","Government","On which page mentions the guiding principles?","[10576, 1343, 10444, 800, 10462, 10584, 10580, 10581, 10577, 10578]","[10576]","1","1.0","200-280"
"0.5","USCOURTS-nmd-1_24-cr-00032-8","Government","What will happen if the government fails to establish the relevance of Exhibits 6F and 11C?","[14546, 14547, 16841, 5738, 6670, 11228, 536, 8959, 18617, 17005]","[14546]","1","1.0","200-280"
"0.5","USCOURTS-nmd-1_24-cr-00032-8","Government","Did the Court allow the government to use proposed exhibits during the opening statement?","[14541, 14546, 14543, 14537, 14548, 14547, 14545, 14372, 17571, 1168]","[14546]","2","1.0","200-280"
"0.5","USCOURTS-nmd-1_24-cr-00032-8","Government","Was the United States' Motion to use Photographs in Opening Statement granted?","[14537, 14548, 14545, 14546, 14543, 14541, 14547, 7119, 4041, 20906]","[14537]","1","1.0","200-280"
"0.5","USCOURTS-laed-2_23-cv-02060-0","Government","Are surplus lines insurers subject to approval by the Department of Insurance according to Louisiana law?","[14428, 14448, 14424, 14402, 14457, 12180, 10789, 14429, 14449, 14421]","[14424, 14428]","1","1.0","200-280"
"0.5","USCOURTS-laed-2_23-cv-06661-0","Government","What are the grounds for the removal of Chicken Mart's case to the United States District Court?","[14446, 14454, 14449, 7665, 14444, 8112, 14403, 14467, 14438, 14489]","[14446]","1","1.0","200-280"
"0.5","USCOURTS-laed-2_23-cv-06661-0","Government","On which page does the document present the signature of US District Judge?","[14471, 14386, 14400, 14528, 14435, 1735, 2926, 866, 6916, 9532]","[14470]","Not Found","0.0","200-280"
"0.5","USCOURTS-laed-2_23-cv-06661-0","Government","What is the main content of Section III?","[6609, 5197, 1836, 15842, 1832, 11416, 15929, 1837, 11418, 4449]","[14456, 14457, 14458, 14454]","Not Found","0.0","200-280"
"0.5","Tab-2-INCSR-Vol-2-508","Government","How many persons were convicted for money laundering offenses in Cyprus in 2018?","[13164, 14277, 12711, 13374, 14237, 13931, 12581, 13149, 14177, 13498]","[13164]","1","1.0","200-280"
"0.5","Tab-2-INCSR-Vol-2-508","Government","What does the abbreviation ""DHS/HSI"" refer to?","[5135, 4513, 12444, 9828, 4845, 4844, 5081, 11170, 11169, 9827]","[12444]","3","1.0","200-280"
"0.5","Tab-2-INCSR-Vol-2-508","Government","What are some common sources of laundered funds in Trinidad and Tobago?","[14158, 12554, 13342, 14156, 12503, 14155, 12586, 14172, 13082, 14160]","[14158]","1","1.0","200-280"
"0.5","fdac8d1e9ef56519371df7e6532df27d","Research report / Introduction","What does the map in the report shows?","[21111, 17816, 21185, 21219, 21331, 20996, 21130, 21189, 21100, 21330]","[1042]","Not Found","0.0","280-313"
"0.5","fdac8d1e9ef56519371df7e6532df27d","Research report / Introduction","What year is the report for?","[558, 16456, 8319, 6887, 21472, 5960, 2923, 21571, 3641, 8256]","[925]","Not Found","0.0","280-313"
"0.5","fdac8d1e9ef56519371df7e6532df27d","Research report / Introduction","What are the uses of Indian remote sensing satellite constellation?","[948, 968, 1008, 1010, 1028, 1012, 921, 949, 938, 1045]","[939, 948]","1","0.5","280-313"
"0.5","fdac8d1e9ef56519371df7e6532df27d","Research report / Introduction","What is NARL stand for in this document?","[1046, 1045, 1048, 11205, 1047, 1049, 14400, 1027, 10787, 17070]","[1046]","1","1.0","280-313"
"0.5","fdac8d1e9ef56519371df7e6532df27d","Research report / Introduction","Of the four missions of Indian Space Program's space mission from 2012 to 2017, which mission includes the launch of least number of satellites?","[922, 1010, 1015, 931, 1014, 981, 927, 980, 982, 1011]","[921, 922]","1","0.5","280-313"
"0.5","reportq32015-151009093138-lva1-app6891_95","Research report / Introduction","Regarding the global iOS breakdown, what percentage of the pie chart was iOS 9?","[19553, 8815, 19545, 19574, 19539, 19542, 19551, 19618, 23777, 19544]","[19545, 19546]","3","0.5","280-313"
"0.5","reportq32015-151009093138-lva1-app6891_95","Research report / Introduction","Between Java and WP, how large is the difference in percentage of their global developers mindshare?","[19553, 10730, 13043, 19551, 19526, 12595, 10669, 10725, 11359, 14212]","[19553, 19549]","1","0.5","280-313"
"0.5","reportq32015-151009093138-lva1-app6891_95","Research report / Introduction","In 2014, which one has more mobile apps globally, Apple App store or Google Play store? How many Apps does it have in million?","[19556, 19555, 8815, 8860, 8793, 19612, 19622, 8790, 19558, 19574]","[19553, 19556]","1","0.5","280-313"
"0.5","reportq32015-151009093138-lva1-app6891_95","Research report / Introduction","Which APP on APPOTA platform is top 10 Vietnam Android App, but not top 10 Vietnam iOS App?","[19664, 19623, 19662, 19645, 19666, 19598, 19574, 19667, 8790, 8793]","[19666, 19663]","5","0.5","280-313"
"0.5","reportq32015-151009093138-lva1-app6891_95","Research report / Introduction","As of Q3 2015, are there more active Instagram users in Vietnam, or are there more fans for Appota's fan page? Directly answer 'Instagram' or 'Appota'.","[3658, 8867, 8871, 24417, 19688, 3657, 18396, 19800, 19384, 19526]","[19651, 19687, 19657, 19658, 19689, 19690]","Not Found","0.0","280-313"
"0.5","reportq32015-151009093138-lva1-app6891_95","Research report / Introduction","As of Q3 2015, is vietnam's adoption rate of iOS 9 higher or lower than a global average rate? What is the difference in percentage?","[19542, 19580, 19574, 8815, 8871, 19623, 8764, 19544, 8818, 19653]","[19545, 19580]","2","0.5","280-313"
"0.5","reportq32015-151009093138-lva1-app6891_95","Research report / Introduction","Which news appear in both Vietnam mobile news and APPOTA news?","[19534, 19526, 19623, 19667, 19564, 19664, 19565, 19566, 19598, 22502]","[19569, 19674]","Not Found","0.0","280-313"
"0.5","honor_watch_gs_pro","Guidebook","What is the time on the gallery screenshot when demostrating how to set galley watch faces?","[2853, 26573, 2815, 26571, 24566, 19243, 22818, 9116, 2861, 26056]","[2857, 2858, 2859]","Not Found","0.0","280-313"
"0.5","honor_watch_gs_pro","Guidebook","What is the color on the watch that shows the aerobic zone?","[26604, 19459, 2793, 2660, 24090, 2778, 10187, 25265, 2726, 20206]","[2660]","4","1.0","280-313"
